date,price,price_psf,bedrooms,bathrooms,sqft_living,sqft_lot,yr_built,yr_renovated,street,zip
2014-05-28,210000.0,238.63636363636363,2.0,1.5,880,1157,2007,0,9413 34th Ave SW,98126
2014-06-11,250000.0,254.5824847250509,2.0,1.5,982,846,2006,0,10217 Aurora Ave N,98133
2014-05-29,305000.0,305.0,2.0,2.25,1000,905,2006,0,7534 24th Ave NW,98117
2014-05-22,270000.0,321.42857142857144,2.0,1.5,840,867,2005,0,9122 23rd Ave NE,98115
2014-07-01,332888.0,317.0361904761905,2.0,2.5,1050,1029,2007,0,101-115 26th Ave,98122
2014-05-12,369000.0,376.53061224489795,2.0,2.5,980,895,2009,0,1716 California Ave SW,98116
2014-06-24,329445.0,396.921686746988,2.0,1.5,830,1119,2005,0,2300 14th Ave S,98144
2014-06-24,355000.0,381.7204301075269,2.0,2.25,930,747,2007,0,2107 13th Ave S,98144
2014-05-07,339950.0,414.5731707317073,2.0,1.0,820,681,2006,0,513 N 46th St,98103
2014-06-30,427500.0,392.20183486238534,2.0,2.0,1090,934,2008,0,1700 Dexter Ave N,98109
2014-05-08,441750.0,433.0882352941176,2.0,1.5,1020,1060,2008,0,743 N 71st St,98103
2014-05-08,438000.0,446.9387755102041,2.0,1.0,980,1179,2010,0,2050 14th Ave W,98119
